Name,Bouboule,Coin bouboule,Coin pas ouvert,Coin ouvert mais DL aux jonctions,Coin ouvert
CHEBI:15601,,0,0,0,0,0
CHEBI:16063,,0,0,0,0,0
CHEBI:17741,,0,0,0,0,0
CHEBI:17786,,0,0,0,0,0
CHEBI:17460,,0,0,0,0,0
CHEBI:15566,,0,0,0,0,0
CHEBI:16134,,0,0,0,0,0
CHEBI:17129,,0,0,0,0,0
CHEBI:16091,,0,0,0,0,0
CHEBI:9997,,0,0,0,0,0
CHEBI:15902,,0,0,0,0,0
CHEBI:17219,,0,0,0,0,0
CHEBI:17065,,0,0,0,0,0
CHEBI:9118,,0,0,0,0,0
CHEBI:16568,,0,0,0,0,0
CHEBI:6909,,0,0,0,0,0
CHEBI:17075,,0,0,0,0,0
CHEBI:17072,,0,0,0,0,0
CHEBI:15924,,0,0,0,0,0
CHEBI:16308,,0,0,0,0,0
CHEBI:18234,,0,0,0,0,0
CHEBI:17641,,0,0,0,0,0
CHEBI:18150,,0,0,0,0,0
CHEBI:15427,,0,0,0,0,0
CHEBI:16836,,0,0,0,0,0
CHEBI:16324,4 ,1,4,0,2,0
CHEBI:25682,,0,0,0,0,0
CHEBI:17203,,0,0,0,0,0
CHEBI:18421,,0,0,0,0,0
CHEBI:17143,,0,0,0,0,0
CHEBI:15615,,0,0,0,0,0
CHEBI:8884,,0,0,0,0,0
CHEBI:15537,,0,0,0,0,0
CHEBI:17822,,0,0,0,0,0
CHEBI:16965,,0,0,0,0,0
CHEBI:16778,,0,0,0,0,0
CHEBI:17040,,0,0,0,0,0
CHEBI:4325,,0,0,0,0,0
CHEBI:15845,,0,0,0,0,0
CHEBI:16418,,0,0,0,0,0
CHEBI:24367,,0,0,0,0,0
CHEBI:16942,,0,0,0,0,0
CHEBI:15996,,0,0,0,0,0
CHEBI:15976,,0,0,0,0,0
CHEBI:3696,,0,0,0,0,0
CHEBI:18329,,0,0,0,0,0
CHEBI:21695,,0,0,0,0,0
CHEBI:16883,,0,0,0,0,0
CHEBI:18285,,0,0,0,0,0
CHEBI:15693,,0,0,0,0,0
CHEBI:27432,,0,0,0,0,0
CHEBI:15419,,0,0,0,0,0
CHEBI:15475,,0,0,0,0,0
CHEBI:16785,,0,0,0,0,0
CHEBI:15938,,0,0,0,0,0
CHEBI:16004,,0,0,0,0,0
CHEBI:16505,,0,0,0,0,0
CHEBI:1148,,0,0,0,0,0
CHEBI:16235,,0,0,0,0,0
CHEBI:3240,,0,0,0,0,0
CHEBI:18094,,0,0,0,0,0
CHEBI:17594,,0,0,0,0,0
CHEBI:1296,,0,0,0,0,0
CHEBI:15673,,0,0,0,0,0
CHEBI:15523,,0,0,0,0,0
CHEBI:16497,,0,0,0,0,0
CHEBI:27391,,0,0,0,0,0
CHEBI:16775,,0,0,0,0,0
CHEBI:9468,,0,0,0,0,0
CHEBI:17379,,0,0,0,0,0
CHEBI:15707,,0,0,0,0,0
CHEBI:15366,,0,0,0,0,0
CHEBI:15372,,0,0,0,0,0
CHEBI:16892,,0,0,0,0,0
CHEBI:16504,,0,0,0,0,0
CHEBI:17784,,0,0,0,0,0
CHEBI:4778,,0,0,0,0,0
CHEBI:17381,,0,0,0,0,0
CHEBI:15749,,0,0,0,0,0
CHEBI:15987,,0,0,0,0,0
CHEBI:17811,,0,0,0,0,0
CHEBI:17688,,0,0,0,0,0
CHEBI:15361,,0,0,0,0,0
CHEBI:17217,,0,0,0,0,0
CHEBI:17125,,0,0,0,0,0
CHEBI:16473,,0,0,0,0,0
CHEBI:17927,,0,0,0,0,0
CHEBI:16870,,0,0,0,0,0
CHEBI:15745,,0,0,0,0,0
CHEBI:27380,,0,0,0,0,0
CHEBI:17643,,0,0,0,0,0
CHEBI:18370,,0,0,0,0,0
CHEBI:17433,,0,0,0,0,0
CHEBI:6121,,0,0,0,0,0
CHEBI:15586,,0,0,0,0,0
CHEBI:16466,,0,0,0,0,0
CHEBI:15453,,0,0,0,0,0
CHEBI:18388,,0,0,0,0,0
CHEBI:17044,,0,0,0,0,0
CHEBI:17632,,0,0,0,0,0
CHEBI:15495,,0,0,0,0,0
CHEBI:7627,,0,0,0,0,0
CHEBI:16209,,0,0,0,0,0
CHEBI:16536,,0,0,0,0,0
CHEBI:17027,,0,0,0,0,0
CHEBI:15901,,0,0,0,0,0
CHEBI:17045,,0,0,0,0,0
CHEBI:4904,,0,0,0,0,0
CHEBI:16987,,0,0,0,0,0
CHEBI:3720,,0,0,0,0,0
CHEBI:16603,,0,0,0,0,0
CHEBI:7569,,0,0,0,0,0
CHEBI:4354,,0,0,0,0,0
CHEBI:8881,,0,0,0,0,0
CHEBI:16439,,0,0,0,0,0
CHEBI:3216,4 ,1,3,2,1,2
CHEBI:15739,,0,0,0,0,0
CHEBI:15651,,0,0,0,0,0
CHEBI:17728,,0,0,0,0,0
CHEBI:15440,,0,0,0,0,0
CHEBI:16074,,0,0,0,0,0
CHEBI:18112,,0,0,0,0,0
CHEBI:18261,,0,0,0,0,0
CHEBI:18396,,0,0,0,0,0
CHEBI:16675,,0,0,0,0,0
CHEBI:16990,,0,0,0,0,0
CHEBI:16848,,0,0,0,0,0
CHEBI:17241,,0,0,0,0,0
CHEBI:17285,,0,0,0,0,0
CHEBI:17470,,0,0,0,0,0
CHEBI:27399,,0,0,0,0,0
CHEBI:25858,,0,0,0,0,0
CHEBI:17862,,0,0,0,0,0
CHEBI:16163,,0,0,0,0,0
CHEBI:17096,,0,0,0,0,0
CHEBI:1269,,0,0,0,0,0
CHEBI:15886,,0,0,0,0,0
CHEBI:17579,,0,0,0,0,0
CHEBI:17121,,0,0,0,0,0
CHEBI:17136,,0,0,0,0,0
CHEBI:15640,,0,0,0,0,0
CHEBI:18127,,0,0,0,0,0
CHEBI:17780,,0,0,0,0,0
CHEBI:15342,4 ,0,0,0,1,0
CHEBI:18083,,0,0,0,0,0
CHEBI:15621,,0,0,0,0,0
CHEBI:15724,,0,0,0,0,0
CHEBI:8048,,0,0,0,0,0
CHEBI:16595,,0,0,0,0,0
CHEBI:16383,,0,0,0,0,0
CHEBI:17165,,0,0,0,0,0
CHEBI:17132,,0,0,0,0,0
CHEBI:15936,,0,0,0,0,0
CHEBI:16791,1 ,1,4,0,0,2
CHEBI:17257,,0,0,0,0,0
CHEBI:15588,,0,0,0,0,0
CHEBI:6698,,0,0,0,0,0
CHEBI:4821,4 ,0,0,0,1,0
CHEBI:18168,,0,0,0,0,0
CHEBI:18917,,0,0,0,0,0
CHEBI:18118,,0,0,0,0,0
CHEBI:16292,,0,0,0,0,0
CHEBI:17059,,0,0,0,0,0
CHEBI:17205,,0,0,0,0,0
CHEBI:17798,,0,0,0,0,0
CHEBI:16755,,0,0,0,0,0
CHEBI:18238,,0,0,0,0,0
CHEBI:16995,,0,0,0,0,0
CHEBI:17610,,0,0,0,0,0
CHEBI:5163,,0,0,0,0,0
CHEBI:15633,,0,0,0,0,0
CHEBI:15947,,0,0,0,0,0
CHEBI:18239,,0,0,0,0,0
CHEBI:18427,,0,0,0,0,0
CHEBI:16821,,0,0,0,0,0
CHEBI:18405,,0,0,0,0,0
CHEBI:18363,,0,0,0,0,0
CHEBI:18351,,0,0,0,0,0
CHEBI:16696,,0,0,0,0,0
CHEBI:17801,,0,0,0,0,0
CHEBI:16583,,0,0,0,0,0
CHEBI:18131,,0,0,0,0,0
CHEBI:3663,,0,0,0,0,0
CHEBI:16287,,0,0,0,0,0
CHEBI:17755,,0,0,0,0,0
CHEBI:17989,,0,0,0,0,0
CHEBI:16958,,0,0,0,0,0
CHEBI:16488,,0,0,0,0,0
CHEBI:9368,,0,0,0,0,0
CHEBI:15781,,0,0,0,0,0
CHEBI:3493,,0,0,0,0,0
CHEBI:15614,,0,0,0,0,0
CHEBI:16331,,0,0,0,0,0
CHEBI:15449,,0,0,0,0,0
CHEBI:21371,,0,0,0,0,0
