nom_molecule,classement_1,classement_2,diff_classement
CHEBI_132638.csv,427,392,-35
CHEBI_2479.csv,540,504,-36
CHEBI_136054.csv,74,38,-36
CHEBI_7852.csv,725,689,-36
CHEBI_65384.csv,631,593,-38
CHEBI_65610.csv,598,560,-38
CHEBI_28445.csv,547,509,-38
CHEBI_136455.csv,548,507,-41
CHEBI_138461.csv,701,660,-41
CHEBI_39229.csv,639,597,-42
CHEBI_65383.csv,640,596,-44
CHEBI_60489.csv,387,341,-46
CHEBI_58473.csv,641,594,-47
CHEBI_90756.csv,619,570,-49
CHEBI_143658.csv,626,576,-50
CHEBI_58537.csv,627,575,-52
CHEBI_65401.csv,473,421,-52
CHEBI_136640.csv,610,557,-53
CHEBI_52070.csv,597,543,-54
CHEBI_155903.csv,363,308,-55
CHEBI_38486.csv,611,555,-56
CHEBI_5019.csv,744,688,-56
CHEBI_132792.csv,628,572,-56
CHEBI_139122.csv,636,579,-57
CHEBI_5356.csv,638,580,-58
CHEBI_9519.csv,612,554,-58
CHEBI_59860.csv,629,571,-58
CHEBI_652822.csv,275,216,-59
CHEBI_64904.csv,697,638,-59
CHEBI_3789.csv,599,539,-60
CHEBI_66119.csv,503,443,-60
CHEBI_63918.csv,564,503,-61
CHEBI_38054.csv,630,569,-61
CHEBI_142830.csv,502,441,-61
CHEBI_65466.csv,506,444,-62
CHEBI_137678.csv,329,267,-62
CHEBI_5858.csv,600,538,-62
CHEBI_67308.csv,625,562,-63
CHEBI_136460.csv,549,486,-63
CHEBI_65385.csv,613,550,-63
CHEBI_68551.csv,750,687,-63
CHEBI_9107.csv,495,432,-63
CHEBI_65736.csv,435,372,-63
CHEBI_2433.csv,601,537,-64
CHEBI_78570.csv,632,568,-64
CHEBI_136427.csv,723,659,-64
CHEBI_68928.csv,539,474,-65
CHEBI_90794.csv,310,245,-65
CHEBI_36161.csv,299,234,-65
CHEBI_36506.csv,614,549,-65
CHEBI_66514.csv,550,485,-65
CHEBI_144373.csv,609,544,-65
CHEBI_35639.csv,608,542,-66
CHEBI_27808.csv,607,541,-66
CHEBI_83282.csv,322,255,-67
CHEBI_69868.csv,551,484,-67
CHEBI_65531.csv,602,535,-67
